StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;nor_LeadTime;GlobalObjExitTardiness
14708;3;0;1598.4538;4795.3613;22749.1027;11080.536;5.1399;2795.2956;12952.7082;9960.3295;2;0;21065.7201;88.1499;-1933.1925
14709;2;2;815.7239;3262.8958;14221.8999;18390.2044;12.3948;2847.3476;13194.7986;10624.5204;2;0;21065.7201;88.1499;-1933.1925
14710;3;0;1559.7157;4679.147;23316.2781;10379.5749;4.9979;2772.3476;12749.9535;10186.0323;1;0;21065.8008;88.0692;-1933.1119
14711;2;1;815.7239;3262.8958;13352.7562;19259.3481;12.547;2847.3476;12992.0439;10827.2752;1;3;21065.8008;88.0692;-1933.1119
14712;2;1;779.0166;3116.0663;11624.0696;18509.8641;11.8887;2835.1118;13334.646;10496.9089;1;3;21065.8008;88.0692;-1933.1119
14713;3;3;1596.423;4789.2691;25795.3671;10415.3638;5.3891;2760.1118;12547.1988;10401.0228;3;3;21065.8816;87.9884;-1933.0313
14714;2;3;815.8932;3263.5729;10049.2827;20187.1444;12.3603;3125.6942;12787.7092;10836.5966;3;0;21065.8816;87.9884;-1933.0313
14715;3;0;1559.5464;4678.6391;26319.3701;9751.9908;5.2284;3050.6942;12344.4441;10396.5284;1;0;21065.9623;87.9077;-1932.9508
14716;3;4;1523.2845;4569.8534;24341.0999;9214.0466;4.7821;3014.4323;11842.1555;10060.0789;1;4;21065.8022;88.0678;-1932.8393
14717;2;1;633.3109;2533.2435;11700.0748;16141.6817;10.6471;2953.5715;12683.8341;9279.2611;1;1;21065.8022;88.0678;-1932.8393
14718;2;4;834.8783;3339.5132;10473.57;17061.9168;10.1983;3081.8881;13036.0407;9840.4045;4;1;21065.8022;88.0678;-1932.8393
14719;3;1;1534.5693;4603.7078;27499.8729;8646.4193;4.3937;2870.1839;12956.5528;9089.9299;0;1;21065.3763;88.4937;-1933.537
