StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;GlobalObjExitTardiness
1084;2;3;705.2333;2820.9332;12890.5902;17538.4765;12.1928;2899.5356;10672.372;9594.7591;3;4;21478.0019;-1382.804
1085;3;4;1597.75;4793.2501;16528.7297;9178.0202;3.6726;3129.5507;9914.4455;10289.3371;4;4;21475.867;-1381.537
1086;2;4;820.2493;3280.9973;12026.7117;18192.291;11.7577;3104.5507;10426.4452;9802.3374;4;1;21475.867;-1381.537
1087;2;0;777.9056;3111.6225;10431.254;17332.1235;11.0729;3090.4361;10765.1948;9477.7024;0;1;21475.867;-1381.537
1088;3;1;1513.4146;4540.2438;20280.3338;8054.4225;3.6977;2888.757;10654.3191;8748.5906;5;1;21474.9356;-1386.3783
1089;3;5;1438.4146;4315.2438;18334.6552;7350.101;3.2836;2871.13;10330.6923;9089.8443;5;5;21476.1933;-1385.3732
1090;2;5;865.7705;3463.0822;12425.8931;17861.0248;11.027;3056.71;10488.0694;9788.5539;5;5;21476.1933;-1385.3732
1091;3;5;1588.4787;4765.436;16707.8706;9026.6934;3.595;3016.758;9805.5903;9635.985;4;5;21474.0031;-1384.1787
1092;3;1;1408.3487;4225.0461;15835.0409;7314.913;2.8836;2906.8443;10313.7199;9154.4357;4;1;21473.8562;-1388.2128
1093;2;4;827.2408;3308.9632;14582.5833;15858.4534;9.8044;2839.2174;10332.7298;9203.0528;4;1;21473.8562;-1388.2128
1094;3;1;1568.8859;4706.6578;14219.8959;8948.4463;3.1943;2896.8737;9800.5315;9760.9282;2;1;21471.7129;-1386.9828
1095;2;2;827.2408;3308.9632;13751.2658;16689.771;10.0165;2871.8737;10069.9063;9516.5533;2;2;21471.7129;-1386.9828
1096;2;1;863.9359;3455.7435;13015.0268;19904.2296;12.3993;3190.0513;10671.347;10513.6017;1;2;21471.7129;-1386.9828
1097;3;2;1497.895;4493.685;17557.1161;8449.1989;3.56;2969.0604;10715.1424;9649.1305;4;2;21471.0767;-1391.4911
1098;2;4;699.5847;2798.3387;14614.8816;15836.7797;10.6512;2914.2767;11143.1116;9275.9451;4;4;21471.0767;-1391.4911
1099;3;4;1587.2462;4761.7386;16075.3405;9912.9208;3.9173;2900.4265;10390.3516;10042.5552;4;4;21472.6089;-1390.2069
1100;2;4;856.7522;3427.0089;13075.0819;17247.9093;10.4576;2888.9655;10493.3847;9950.9831;4;3;21472.6089;-1390.2069
1101;2;1;819.6822;3278.7288;11419.7918;16426.4794;9.7665;2876.6088;10789.9449;9666.7796;1;3;21472.6089;-1390.2069
1102;2;1;819.6822;3278.7288;10550.3556;17295.9156;10.0329;3184.7356;11411.8006;9778.4638;1;3;21472.6089;-1390.2069
1103;2;4;781.1254;3124.5016;8872.8634;16502.635;9.3826;3171.8833;11733.1073;9470.0093;4;3;21472.6089;-1390.2069
1104;3;3;1594.3745;4783.1235;23751.7118;9840.1648;5.1739;2994.0018;10962.2768;9377.0547;4;3;21472.4332;-1394.2335
1105;2;4;706.1254;2824.5016;7749.3033;15051.1951;8.5864;2969.0018;11447.2722;8917.0594;4;2;21472.4332;-1394.2335
1106;3;2;1512.8207;4538.4622;25105.8467;8480.691;4.4989;3054.6093;11351.2481;8927.4759;3;2;21471.9511;-1398.5525
1107;3;1;1478.4378;4435.3133;23024.4432;8040.2435;4.1408;3020.2263;10783.518;8654.5891;3;1;21469.7161;-1397.4293
1108;2;3;729.4509;2917.8037;9206.7075;13500.4888;7.6932;2956.3761;11253.0109;8248.9463;3;1;21469.7161;-1397.4293
1109;2;4;873.7701;3495.0806;8089.9217;16914.9977;10.0891;3242.2363;11846.0128;9286.7509;4;1;21469.7161;-1397.4293
1110;3;1;1555.4882;4666.4645;25724.4316;7984.104;3.8293;3052.7361;11470.5712;8810.026;2;1;21466.4783;-1404.4895
1111;3;2;1518.4181;4555.2544;23560.7723;7633.9733;3.6171;3015.6661;10885.2748;8557.3924;2;2;21465.9381;-1401.6826
1112;3;1;1443.4181;4330.2544;21665.2027;6879.5429;3.181;2940.6661;10528.4183;8030.9156;2;1;21467.5428;-1400.3143
1113;3;1;1404.8613;4214.584;19442.2712;6593.1448;3.0248;2960.6651;9934.1612;8688.5071;2;1;21467.0239;-1397.5037
1114;2;2;858.2268;3432.907;9804.487;15262.6059;9.0304;2889.0397;10014.7349;8679.5588;2;4;21467.0239;-1397.5037
1115;3;4;1544.7374;4634.2122;18119.7781;7746.0097;3.1778;2842.3418;9557.1542;9100.5041;4;4;21468.6421;-1396.1265
1116;2;4;858.2268;3432.907;8760.4653;16306.6277;9.374;2817.3418;9637.7278;9044.9304;4;4;21468.6421;-1396.1265
1117;3;4;1544.7374;4634.2122;18260.8357;7604.9522;3.274;2856.6814;9270.5057;9372.8129;3;4;21467.014;-1397.9949
1118;2;3;817.8873;3271.549;10441.16;19787.291;13.3558;2948.5257;10240.2991;10144.5086;3;1;21467.014;-1397.9949
1119;3;1;1569.8554;4709.5662;18133.0632;7657.3706;3.1157;2823.183;9726.1576;10617.3261;4;1;21464.5144;-1404.28
1120;3;4;1494.8554;4484.5662;16150.9098;6989.524;2.7968;3023.2899;9438.2965;10788.4136;4;4;21465.2094;-1403.8171
1121;3;5;1419.8554;4259.5662;14093.7564;6396.6774;2.5196;2948.2899;9127.5787;10215.7981;4;5;21465.9021;-1403.3559
1122;2;4;731.2413;2924.9653;12602.5816;20347.4531;14.6081;2881.8457;9207.6033;10202.2177;4;2;21465.9021;-1403.3559
1123;2;1;875.963;3503.8522;10807.498;22063.6498;14.5848;2940.0186;9424.4437;10885.5377;1;2;21465.9021;-1403.3559
1124;2;2;875.963;3503.8522;9948.1525;22922.9953;14.7847;3015.0186;10027.5392;11165.7756;2;2;21465.9021;-1403.3559
1125;2;4;875.963;3503.8522;9253.1583;23617.9895;14.9162;3223.5059;10655.6346;11370.8595;4;2;21465.9021;-1403.3559
1126;3;2;1604.1592;4812.4775;20072.6418;8239.8807;3.7973;3030.5972;9799.7862;11377.9499;0;2;21465.9538;-1407.062
1127;2;0;800.963;3203.8522;8473.8777;21822.2701;13.8848;3005.5972;10386.5289;10816.2072;0;1;21465.9538;-1407.062
1128;3;1;1489.1432;4467.4295;21455.5699;6952.0007;3.3447;3004.2429;10539.1415;10664.949;1;1;21464.5157;-1412.2449
1129;3;1;1461.2634;4383.7901;19050.3522;6815.8576;3.3347;2976.3631;9867.5079;10489.4623;1;1;21464.921;-1408.5412
